week,date,day,shift,slot,legacy_slot,company,tier,company_id
2,2026-07-12,الأحد,الفترة الصباحية,6,6,شركة إنما فارما,A,49ccf94c-6322-42fa-9129-4725fb3d8d32
3,2026-07-19,الأحد,الفترة الصباحية,6,6,شركة إنما فارما,A,49ccf94c-6322-42fa-9129-4725fb3d8d32
4,2026-07-26,الأحد,الفترة الصباحية,6,6,شركة إنما فارما,A,49ccf94c-6322-42fa-9129-4725fb3d8d32
1,2026-07-05,الأحد,الفترة الصباحية,7,7,شركة الملك للتجارة,B,fafdd7c9-b826-42e2-bd11-bfc83aa66b7e
2,2026-07-12,الأحد,الفترة الصباحية,7,7,شركة الملك للتجارة,B,fafdd7c9-b826-42e2-bd11-bfc83aa66b7e
3,2026-07-19,الأحد,الفترة الصباحية,7,7,شركة الملك للتجارة,B,fafdd7c9-b826-42e2-bd11-bfc83aa66b7e
4,2026-07-26,الأحد,الفترة الصباحية,7,7,شركة الملك للتجارة,B,fafdd7c9-b826-42e2-bd11-bfc83aa66b7e
1,2026-07-05,الأحد,الفترة الصباحية,8,8,شركة نماء فارما,B,31444e64-07ca-4d62-b9ec-bb656ab98182
2,2026-07-12,الأحد,الفترة الصباحية,8,8,شركة نماء فارما,B,31444e64-07ca-4d62-b9ec-bb656ab98182
3,2026-07-19,الأحد,الفترة الصباحية,8,8,شركة نماء فارما,B,31444e64-07ca-4d62-b9ec-bb656ab98182
4,2026-07-26,الأحد,الفترة الصباحية,8,8,شركة نماء فارما,B,31444e64-07ca-4d62-b9ec-bb656ab98182
1,2026-07-05,الأحد,الفترة الصباحية,9,9,مؤسسة الخليج العربي,B,6ef88a72-365c-4619-ac3f-1eb0d4afc4f9
2,2026-07-12,الأحد,الفترة الصباحية,9,9,مؤسسة الخليج العربي,B,6ef88a72-365c-4619-ac3f-1eb0d4afc4f9
3,2026-07-19,الأحد,الفترة الصباحية,9,9,مؤسسة الخليج العربي,B,6ef88a72-365c-4619-ac3f-1eb0d4afc4f9
4,2026-07-26,الأحد,الفترة الصباحية,9,9,مؤسسة الخليج العربي,B,6ef88a72-365c-4619-ac3f-1eb0d4afc4f9
1,2026-07-05,الأحد,الفترة الصباحية,10,10,مؤسسة وادي بن علي,B,d2531f6d-6947-4674-a18b-c0e91ed07dd7
2,2026-07-12,الأحد,الفترة الصباحية,10,10,مؤسسة وادي بن علي,B,d2531f6d-6947-4674-a18b-c0e91ed07dd7
3,2026-07-19,الأحد,الفترة الصباحية,10,10,مؤسسة وادي بن علي,B,d2531f6d-6947-4674-a18b-c0e91ed07dd7
4,2026-07-26,الأحد,الفترة الصباحية,10,10,مؤسسة وادي بن علي,B,d2531f6d-6947-4674-a18b-c0e91ed07dd7
1,2026-07-05,الأحد,الفترة الصباحية,11,1,مخازن بلقيس جميع الاقسام,A,4473283d-f590-4ecf-9e8e-ce2a3273acaf
2,2026-07-12,الأحد,الفترة الصباحية,11,1,مخازن بلقيس جميع الاقسام,A,4473283d-f590-4ecf-9e8e-ce2a3273acaf
3,2026-07-19,الأحد,الفترة الصباحية,11,1,مخازن بلقيس جميع الاقسام,A,4473283d-f590-4ecf-9e8e-ce2a3273acaf
4,2026-07-26,الأحد,الفترة الصباحية,11,1,مخازن بلقيس جميع الاقسام,A,4473283d-f590-4ecf-9e8e-ce2a3273acaf
1,2026-07-05,الأحد,الفترة الصباحية,12,2,هيلثي فارما,UNRATED,5bcb277a-be1a-4add-9331-cabe3532913c
2,2026-07-12,الأحد,الفترة الصباحية,12,2,هيلثي فارما,UNRATED,5bcb277a-be1a-4add-9331-cabe3532913c
3,2026-07-19,الأحد,الفترة الصباحية,12,2,هيلثي فارما,UNRATED,5bcb277a-be1a-4add-9331-cabe3532913c
4,2026-07-26,الأحد,الفترة الصباحية,12,2,هيلثي فارما,UNRATED,5bcb277a-be1a-4add-9331-cabe3532913c
1,2026-07-05,الأحد,الفترة المسائية,1,1,التخصصية فارما,B,9d1092e4-b222-4c1b-aba5-fa26728c78d6
2,2026-07-12,الأحد,الفترة المسائية,1,1,التخصصية فارما,B,9d1092e4-b222-4c1b-aba5-fa26728c78d6
3,2026-07-19,الأحد,الفترة المسائية,1,1,التخصصية فارما,B,9d1092e4-b222-4c1b-aba5-fa26728c78d6
4,2026-07-26,الأحد,الفترة المسائية,1,1,التخصصية فارما,B,9d1092e4-b222-4c1b-aba5-fa26728c78d6
1,2026-07-05,الأحد,الفترة المسائية,2,2,الشركة العربية (ABC),A,ed714e7c-0b14-4177-8956-7dc7541ae8e5
2,2026-07-12,الأحد,الفترة المسائية,2,2,الشركة العربية (ABC),A,ed714e7c-0b14-4177-8956-7dc7541ae8e5
3,2026-07-19,الأحد,الفترة المسائية,2,2,الشركة العربية (ABC),A,ed714e7c-0b14-4177-8956-7dc7541ae8e5
4,2026-07-26,الأحد,الفترة المسائية,2,2,الشركة العربية (ABC),A,ed714e7c-0b14-4177-8956-7dc7541ae8e5
1,2026-07-05,الأحد,الفترة المسائية,3,3,المؤسسة المتقدمة - بيزلين,B,a2fb7616-320d-4aa8-8902-2025184379b0
2,2026-07-12,الأحد,الفترة المسائية,3,3,المؤسسة المتقدمة - بيزلين,B,a2fb7616-320d-4aa8-8902-2025184379b0
3,2026-07-19,الأحد,الفترة المسائية,3,3,المؤسسة المتقدمة - بيزلين,B,a2fb7616-320d-4aa8-8902-2025184379b0
4,2026-07-26,الأحد,الفترة المسائية,3,3,المؤسسة المتقدمة - بيزلين,B,a2fb7616-320d-4aa8-8902-2025184379b0
1,2026-07-05,الأحد,الفترة المسائية,4,4,بريميم كير للأدوية,B,eb93c4e2-0c8e-4f00-b769-17f66fd07a8b
2,2026-07-12,الأحد,الفترة المسائية,4,4,بريميم كير للأدوية,B,eb93c4e2-0c8e-4f00-b769-17f66fd07a8b
3,2026-07-19,الأحد,الفترة المسائية,4,4,بريميم كير للأدوية,B,eb93c4e2-0c8e-4f00-b769-17f66fd07a8b
4,2026-07-26,الأحد,الفترة المسائية,4,4,بريميم كير للأدوية,B,eb93c4e2-0c8e-4f00-b769-17f66fd07a8b
1,2026-07-05,الأحد,الفترة المسائية,5,5,ريمان فارما,A,29eb7d64-e0c0-4e13-9648-a8ba856862f8
2,2026-07-12,الأحد,الفترة المسائية,5,5,ريمان فارما,A,29eb7d64-e0c0-4e13-9648-a8ba856862f8
3,2026-07-19,الأحد,الفترة المسائية,5,5,ريمان فارما,A,29eb7d64-e0c0-4e13-9648-a8ba856862f8
4,2026-07-26,الأحد,الفترة المسائية,5,5,ريمان فارما,A,29eb7d64-e0c0-4e13-9648-a8ba856862f8
1,2026-07-05,الأحد,الفترة المسائية,6,6,شركة الشرق للأدوية,B,825e0302-4def-42f8-965e-e523a0ddba05
2,2026-07-12,الأحد,الفترة المسائية,6,6,شركة الشرق للأدوية,B,825e0302-4def-42f8-965e-e523a0ddba05
3,2026-07-19,الأحد,الفترة المسائية,6,6,شركة الشرق للأدوية,B,825e0302-4def-42f8-965e-e523a0ddba05
4,2026-07-26,الأحد,الفترة المسائية,6,6,شركة الشرق للأدوية,B,825e0302-4def-42f8-965e-e523a0ddba05
1,2026-07-05,الأحد,الفترة المسائية,7,7,شركة سوكر للأدوية,B,1c01fbd7-312d-4f52-b4ec-60451f432d4b
2,2026-07-12,الأحد,الفترة المسائية,7,7,شركة سوكر للأدوية,B,1c01fbd7-312d-4f52-b4ec-60451f432d4b
3,2026-07-19,الأحد,الفترة المسائية,7,7,شركة سوكر للأدوية,B,1c01fbd7-312d-4f52-b4ec-60451f432d4b
4,2026-07-26,الأحد,الفترة المسائية,7,7,شركة سوكر للأدوية,B,1c01fbd7-312d-4f52-b4ec-60451f432d4b
1,2026-07-05,الأحد,الفترة المسائية,8,8,فاست برو هيلث,B,028fefea-4154-418b-b028-512dc1895f70
2,2026-07-12,الأحد,الفترة المسائية,8,8,فاست برو هيلث,B,028fefea-4154-418b-b028-512dc1895f70
3,2026-07-19,الأحد,الفترة المسائية,8,8,فاست برو هيلث,B,028fefea-4154-418b-b028-512dc1895f70
4,2026-07-26,الأحد,الفترة المسائية,8,8,فاست برو هيلث,B,028fefea-4154-418b-b028-512dc1895f70
1,2026-07-05,الأحد,الفترة المسائية,9,9,مؤسسة المدينة,B,7e66ad01-7271-4d4c-96ba-e97dc31d4ecb
2,2026-07-12,الأحد,الفترة المسائية,9,9,مؤسسة المدينة,B,7e66ad01-7271-4d4c-96ba-e97dc31d4ecb
3,2026-07-19,الأحد,الفترة المسائية,9,9,مؤسسة المدينة,B,7e66ad01-7271-4d4c-96ba-e97dc31d4ecb
4,2026-07-26,الأحد,الفترة المسائية,9,9,مؤسسة المدينة,B,7e66ad01-7271-4d4c-96ba-e97dc31d4ecb
1,2026-07-05,الأحد,الفترة المسائية,10,10,محلات ابو جرير,B,67ecd5e9-f9a4-4165-96ca-0469241664c7
2,2026-07-12,الأحد,الفترة المسائية,10,10,محلات ابو جرير,B,67ecd5e9-f9a4-4165-96ca-0469241664c7
3,2026-07-19,الأحد,الفترة المسائية,10,10,محلات ابو جرير,B,67ecd5e9-f9a4-4165-96ca-0469241664c7
4,2026-07-26,الأحد,الفترة المسائية,10,10,محلات ابو جرير,B,67ecd5e9-f9a4-4165-96ca-0469241664c7
1,2026-07-05,الأحد,الفترة المسائية,11,1,ميد واي للأدوية,B,ad1c0d8e-f601-483e-937a-fee2da6129a2
2,2026-07-12,الأحد,الفترة المسائية,11,1,ميد واي للأدوية,B,ad1c0d8e-f601-483e-937a-fee2da6129a2
3,2026-07-19,الأحد,الفترة المسائية,11,1,ميد واي للأدوية,B,ad1c0d8e-f601-483e-937a-fee2da6129a2
4,2026-07-26,الأحد,الفترة المسائية,11,1,ميد واي للأدوية,B,ad1c0d8e-f601-483e-937a-fee2da6129a2
1,2026-07-06,الإثنين,الفترة الصباحية,1,1,ادفانس كير للأدوية,B,52591ea0-9a39-4754-968c-92ab918dad51
2,2026-07-13,الإثنين,الفترة الصباحية,1,1,ادفانس كير للأدوية,B,52591ea0-9a39-4754-968c-92ab918dad51
3,2026-07-20,الإثنين,الفترة الصباحية,1,1,ادفانس كير للأدوية,B,52591ea0-9a39-4754-968c-92ab918dad51
4,2026-07-27,الإثنين,الفترة الصباحية,1,1,ادفانس كير للأدوية,B,52591ea0-9a39-4754-968c-92ab918dad51
1,2026-07-06,الإثنين,الفترة الصباحية,2,2,الزغير فارما,B,f2da6dea-cca8-4d17-8211-6acf54284086
2,2026-07-13,الإثنين,الفترة الصباحية,2,2,الزغير فارما,B,f2da6dea-cca8-4d17-8211-6acf54284086
3,2026-07-20,الإثنين,الفترة الصباحية,2,2,الزغير فارما,B,f2da6dea-cca8-4d17-8211-6acf54284086
4,2026-07-27,الإثنين,الفترة الصباحية,2,2,الزغير فارما,B,f2da6dea-cca8-4d17-8211-6acf54284086
1,2026-07-06,الإثنين,الفترة الصباحية,3,3,الفهد فارما,B,bbbb58dc-c35b-4063-bfaf-8d982b1d7fa6
2,2026-07-13,الإثنين,الفترة الصباحية,3,3,الفهد فارما,B,bbbb58dc-c35b-4063-bfaf-8d982b1d7fa6
3,2026-07-20,الإثنين,الفترة الصباحية,3,3,الفهد فارما,B,bbbb58dc-c35b-4063-bfaf-8d982b1d7fa6
4,2026-07-27,الإثنين,الفترة الصباحية,3,3,الفهد فارما,B,bbbb58dc-c35b-4063-bfaf-8d982b1d7fa6
